geneCluster	pan_category	COG1	COG2	COG3	COG4
GC00007312	cloud	L			
GC00002809	shell	Q			
GC00007724	cloud	X			
GC00004436	shell	L			
GC00001633	shell	S			
GC00000691	core	H			
GC00004951	shell	M			
GC00007319	cloud	X			
GC00003361	shell	X			
GC00007318	cloud	X			
GC00003388	shell	I			
GC00003913	shell	X			
GC00004232	shell	X			
GC00000916	core	K			
GC00003389	shell	S			
GC00003912	shell	X			
GC00004231	shell	P			
GC00001303	core	H			
GC00002209	shell	S			
GC00000818	core	J			
GC00003911	shell	X			
GC00004230	shell	S			
GC00002389	shell	M			
GC00006824	cloud	L			
GC00004829	shell	X			
GC00004824	shell	X			
GC00003365	shell	X			
GC00004826	shell	X			
GC00003919	shell	X			
GC00002859	shell	X			
GC00007777	cloud	X			
GC00003366	shell	X			
GC00007776	cloud	X			
GC00004827	shell	X			
GC00007775	cloud	X			
GC00002128	shell	S			
GC00002250	shell	S			
GC00004235	shell	X			
GC00007774	cloud	X			
GC00007773	cloud	S			
GC00003918	shell	X			
GC00007772	cloud	X			
GC00007771	cloud	X			
GC00007770	cloud	X			
GC00002858	shell	X			
GC00007779	cloud	S			
GC00007778	cloud	X			
GC00004234	shell	X			
GC00006424	cloud	X			
GC00001280	core	L			
GC00004825	shell	X			
GC00003367	shell	P			
GC00006425	cloud	X			
GC00005904	cloud	X			
GC00007725	cloud	X			
GC00006426	cloud	X			
GC00005905	cloud	X			
GC00007621	cloud	X			
GC00006135	cloud	X			
GC00007620	cloud	X			
GC00005902	cloud	X			
GC00001466	softcore	E			
GC00004239	shell	X			
GC00006420	cloud	X			
GC00005903	cloud	X			
GC00007623	cloud	X			
GC00004822	shell	X			
GC00002121	shell	S			
GC00006421	cloud	X			
GC00007096	cloud	X			
GC00007622	cloud	X			
GC00001484	softcore	S			
GC00006422	cloud	X			
GC00007097	cloud	X			
GC00007625	cloud	X			
GC00006423	cloud	X			
GC00007094	cloud	X			
GC00007624	cloud	X			
GC00002855	shell	M			
GC00004817	shell	X			
GC00006428	cloud	X			
GC00007095	cloud	X			
GC00007627	cloud	X			
GC00000827	core	F	J		
GC00004238	shell	X			
GC00004823	shell	X			
GC00006429	cloud	X			
GC00007626	cloud	X			
GC00007092	cloud	X			
GC00006138	cloud	S			
GC00007629	cloud	X			
GC00005900	cloud	X			
GC00006139	cloud	S			
GC00007628	cloud	X			
GC00007090	cloud	X			
GC00004816	shell	X			
GC00007199	cloud	L			
GC00007091	cloud	X			
GC00007198	cloud	X			
GC00005901	cloud	X			
GC00007548	cloud	X			
GC00003102	shell	S			
GC00007549	cloud	A			
GC00007098	cloud	X			
GC00004815	shell	X			
GC00007099	cloud	X			
GC00003801	shell	S			
GC00002052	shell	X			
GC00004814	shell	X			
GC00003451	shell	X			
