geneCluster	pan_category	COG1	COG2	COG3	COG4
GC00002924_2	cloud	T			
GC00002706_1	shell	X			
GC00000234_1	shell	V			
GC00000285_6	shell	S			
GC00000234_11	cloud	V			
GC00002165_3	shell	L			
GC00000346_1	shell	H			
GC00002792_r1_1	shell	P			
GC00002165_2	shell	X			
GC00003476_r1_1	shell	X			
GC00002792_1	cloud	P			
GC00003476_2	cloud	X			
GC00000145_2	softcore	H			
GC00000021_1	softcore	E			
GC00005116_2	cloud	X			
GC00002071_r1_1	shell	L			
GC00000234_7	shell	V			
GC00003476_1	cloud	X			
GC00005116_1	cloud	X			
GC00003470_1	cloud	X			
GC00002054_r1_1	shell	X			
GC00001410_r1_r1_1	softcore	S			
GC00000241_2	softcore	I			
GC00002071_3	shell	L			
GC00002054_1	cloud	X			
GC00000285_4	shell	S			
GC00003470_2	shell	X			
GC00002071_2	shell	L			
GC00002071_1	cloud	L			
GC00003472_2	shell	S			
GC00003472_1	cloud	S			
GC00000187_1	shell	S			
GC00000696_3	softcore	E			
GC00000696_1	cloud	E			
GC00000432_2	cloud	F			
GC00000285_8	shell	S			
GC00000254_4	softcore	K			
GC00000285_2	cloud	X			
GC00000608_r1_1	softcore	E			
GC00001215_r1_1	softcore	E			
GC00000204_r1_2	core	S			
GC00000608_2	cloud	E			
GC00001215_1	cloud	E			
GC00000241_1	shell	I			
GC00000608_1	cloud	E			
GC00000515_2	cloud	E	G		
GC00002212_r1_1	shell	P			
GC00002212_1	cloud	P			
GC00000197_10	core	V			
GC00002212_2	cloud	P			
GC00000346_2	shell	H			
GC00001766_r1_r1_1	shell	X			
GC00000310_2	core	I			
GC00001396_r1_1	softcore	S			
GC00001396_1	cloud	X			
GC00001766_r1_1	shell	X			
GC00000234_5	shell	V			
GC00003270_r1_1	shell	X			
GC00003270_1	cloud	X			
GC00000021_7	shell	E			
GC00000453_1	shell	S			
GC00000197_5	shell	V			
GC00000204_r1_1	shell	S			
GC00001766_1	shell	X			
GC00002212_3	shell	P			
GC00000475_r1_1	shell	L			
GC00000285_9	shell	S			
GC00000402_2	core	O			
GC00000285_3	cloud	S			
GC00000285_1	cloud	S			
GC00000285_7	cloud	S			
GC00000285_5	cloud	S			
GC00000851_r1_r1_1	softcore	L			
GC00002923_r1_r1_1	cloud	X			
GC00003910_2	shell	X			
GC00000071_4	core	O			
GC00003910_1	cloud	X			
GC00000204_1	shell	S			
GC00000402_1	shell	O			
GC00002042_1	cloud	S			
GC00000489_1	cloud	T			
GC00002746_2	shell	S			
GC00000851_r1_2	shell	L			
GC00002746_1	cloud	S			
GC00000851_r1_1	cloud	L			
GC00000013_4	core	O			
GC00000851_2	cloud	L			
GC00002923_r1_r1_2	shell	X			
GC00000851_1	cloud	L			
GC00002535_r1_1	shell	V			
GC00002535_1	cloud	V			
GC00002062_r1_1	shell	S			
GC00000432_3	softcore	F			
GC00001410_r1_1	cloud	S			
GC00000021_5	shell	E			
GC00000475_1	shell	L			
GC00002284_r1_r1_r1_1	shell	S			
GC00002062_2	cloud	S			
GC00000475_2	cloud	L			
GC00002284_r1_r1_1	cloud	S			
GC00002062_1	cloud	S			
GC00003364_1	cloud	S			
GC00002284_r1_1	cloud	S			
GC00001410_1	cloud	S			
GC00002923_r1_2	shell	X			
GC00000432_1	shell	F			
GC00002923_r1_1	cloud	X			
GC00000197_7	shell	V			
GC00002354_r1_r1_1	shell	X			
GC00000197_1	cloud	X			
GC00000197_3	cloud	V			
GC00002284_r1_2	shell	S			
GC00002284_1	cloud	S			
GC00000145_4	core	C			
GC00002284_8	cloud	V			
GC00000574_r1_1	softcore	P			
GC00000574_1	cloud	P			
GC00003364_2	shell	I			
GC00002284_3	cloud	V			
GC00002394_2	shell	X			
GC00004758_1	cloud	S			
GC00002284_2	cloud	V			
GC00004758_2	cloud	S			
GC00000225_1	shell	Q			
GC00002354_r1_1	shell	X			
GC00000515_3	softcore	E	G		
GC00002354_3	cloud	X			
GC00004237_1	cloud	E	G		
GC00002284_4	cloud	S			
GC00004237_3	cloud	E	G		
GC00002354_2	cloud	X			
GC00004237_2	cloud	E	G		
GC00002354_1	cloud	X			
GC00002394_1	shell	X			
GC00002042_3	shell	S			
GC00000234_12	shell	V			
GC00000551_2	core	J			
GC00000234_10	cloud	V			
GC00002042_2	cloud	S			
GC00000551_1	cloud	X			
GC00000515_1	shell	S			
GC00000908_r1_r1_1	shell	L			
GC00002284_11	shell	S			
GC00004782_1	cloud	S			
GC00000234_6	cloud	V			
GC00002284_6	cloud	S			
GC00000234_4	cloud	V			
GC00004782_2	cloud	S			
GC00000149_1	core	E			
GC00000453_2	core	S			
GC00005441_2	cloud	X			
GC00003828_2	shell	X			
GC00005441_1	cloud	X			
GC00000908_r1_1	shell	L			
GC00003828_1	cloud	X			
GC00002542_r1_2	shell	V			
GC00002542_r1_1	cloud	V			
GC00003772_r1_2	cloud	L			
GC00002251_2	shell	Q			
GC00002284_5	shell	V			
GC00002251_1	cloud	Q			
GC00003772_r1_1	cloud	V			
GC00000197_9	shell	V			
GC00000197_2	cloud	V			
GC00000619_1	cloud	S			
GC00003229_r1_1	shell	M			
GC00003229_1	cloud	X			
GC00003229_3	cloud	M			
GC00002284_7	shell	S			
GC00003229_2	cloud	X			
GC00002284_10	cloud	S			
GC00005067_2	cloud	S			
GC00002284_9	cloud	S			
GC00003772_1	shell	V			
GC00005067_1	cloud	S			
GC00002542_4	shell	V			
GC00002542_1	cloud	X			
GC00003228_1	cloud	S			
GC00002542_2	cloud	X			
GC00002542_3	shell	V			
GC00003228_2	shell	S			
GC00001596_2	shell	X			
GC00003883_2	shell	M			
GC00003883_1	cloud	M			
GC00000395_1	shell	S			
GC00000395_2	cloud	S			
GC00003882_r1_1	shell	X			
GC00003882_1	cloud	X			
GC00001531_r1_1	shell	T			
GC00001531_1	cloud	T			
GC00000395_3	shell	S			
GC00000395_4	cloud	S			
GC00001588_r1_1	shell	O			
GC00000366_2	core	P			
GC00000021_6	core	E			
GC00002133_r1_1	shell	X			
GC00000149_2	core	E			
GC00002133_1	shell	X			
GC00001810_r1_1	shell	S			
GC00001810_1	cloud	S			
GC00001233_r1_1	softcore	S			
GC00000366_1	shell	P			
GC00001233_2	cloud	S			
GC00004093_1	cloud	E			
GC00000201_2	softcore	C			
GC00001233_1	cloud	S			
GC00000225_2	softcore	Q			
GC00001002_r1_1	softcore	E			
GC00000489_2	softcore	T			
GC00002923_2	cloud	X			
GC00001002_1	cloud	E			
GC00000087_r1_r1_r1_1	shell	M			
GC00002923_1	cloud	X			
GC00001873_1	cloud	S			
GC00000369_1	shell	S			
GC00004093_2	shell	E			
GC00001873_2	cloud	S			
GC00001605_r1_1	shell	M			
GC00003166_r1_1	shell	X			
GC00001596_3	shell	X			
GC00003166_1	cloud	X			
GC00001728_r1_1	shell	X			
GC00001728_5	cloud	X			
GC00000087_r1_r1_1	shell	M			
GC00000087_r1_4	cloud	M			
GC00000330_3	softcore	P			
GC00000013_11	core	S			
GC00000330_2	cloud	P			
GC00000087_r1_6	cloud	M			
GC00001605_4	shell	M			
GC00001596_1	shell	X			
GC00001605_1	cloud	M			
GC00000908_1	cloud	L			
GC00000908_2	cloud	L			
GC00001605_3	cloud	X			
GC00000908_3	cloud	L			
GC00001605_2	cloud	M			
GC00003046_r1_1	shell	X			
GC00000908_4	cloud	L			
GC00003046_1	cloud	X			
GC00002599_r1_1	shell	S			
GC00001732_2	shell	J			
GC00001728_3	shell	X			
GC00000087_r1_1	shell	M			
GC00001728_1	cloud	X			
GC00000087_r1_8	cloud	M			
GC00001555_r1_r1_r1_1	shell	S			
GC00001710_r1_1	shell	T			
GC00001710_1	cloud	T			
GC00000087_r1_3	cloud	M			
GC00001728_2	cloud	X			
GC00003959_3	cloud	X			
GC00000330_1	shell	P			
GC00000908_5	shell	L			
GC00000087_r1_5	cloud	M			
GC00002599_1	shell	S			
GC00002691_2	shell	S			
GC00003959_2	cloud	X			
GC00002599_2	cloud	X			
GC00000619_2	core	S			
GC00001732_1	shell	J			
GC00000087_r1_7	cloud	M			
GC00002691_1	cloud	S			
GC00003959_1	cloud	X			
GC00001555_r1_r1_1	shell	S			
GC00003959_4	cloud	X			
GC00001555_r1_1	cloud	S			
GC00001555_r1_2	cloud	S			
GC00001555_1	cloud	S			
GC00001588_3	shell	O			
GC00000201_1	shell	C			
GC00000369_3	softcore	S			
GC00001588_2	cloud	O			
GC00001728_6	shell	X			
GC00003543_2	shell	S			
GC00000369_2	cloud	X			
GC00000087_r1_2	shell	M			
GC00003543_1	cloud	S			
GC00000395_5	softcore	S			
GC00001588_1	cloud	O			
GC00000087_12	cloud	M			
GC00000087_10	cloud	M			
GC00003443_r1_1	shell	M			
GC00000087_11	cloud	M			
GC00000234_13	shell	V			
GC00000087_6	cloud	M			
GC00000087_14	cloud	M			
GC00001741_1	shell	K			
GC00001728_4	shell	X			
GC00002607_2	cloud	X			
GC00000087_4	cloud	M			
GC00001866_r1_1	shell	S			
GC00001866_1	cloud	S			
GC00002607_3	cloud	X			
GC00000087_8	cloud	M			
GC00000248_3	shell	S			
GC00003443_2	shell	M			
GC00003113_r1_1	shell	V			
GC00002607_1	cloud	X			
GC00000087_17	cloud	M			
GC00001751_r1_r1_r1_1	shell	X			
GC00003113_1	cloud	V			
GC00003443_1	cloud	M			
GC00001751_r1_r1_1	cloud	X			
GC00004988_1	cloud	X			
GC00000087_15	cloud	M			
GC00003113_2	cloud	V			
GC00002817_2	shell	L			
GC00000087_2	cloud	M			
GC00001751_r1_1	cloud	X			
GC00004988_2	cloud	X			
GC00000087_16	cloud	M			
GC00005418_1	cloud	X			
GC00000234_8	shell	V			
GC00000087_9	cloud	M			
GC00005418_2	cloud	X			
GC00002657_1	shell	S			
GC00002968_r1_1	shell	V			
GC00003676_1	cloud	G			
GC00002968_1	cloud	V			
GC00002968_2	cloud	V			
GC00001873_3	shell	S			
GC00002817_1	shell	L			
GC00000674_2	cloud	S			
GC00000674_3	cloud	O			
GC00000047_2	core	M			
GC00000674_1	cloud	S			
GC00000674_4	cloud	S			
GC00003676_2	shell	X			
GC00002724_r1_1	cloud	S			
GC00002657_2	shell	S			
GC00000021_4	core	H			
GC00001429_1	cloud	X			
GC00002882_r1_1	shell	K			
GC00002506_4	shell	X			
GC00002882_1	cloud	K			
GC00001429_3	cloud	S			
GC00001751_1	shell	X			
GC00000583_2	core	P			
GC00002882_2	cloud	K			
GC00000583_1	cloud	P			
GC00000087_13	shell	M			
GC00000087_3	cloud	M			
GC00000087_1	cloud	M			
GC00001741_2	shell	K			
GC00000087_7	cloud	G			
GC00000087_5	cloud	M			
GC00000291_1	shell	X			
GC00001805_r1_2	shell	X			
GC00000863_1	cloud	H			
GC00003328_r1_1	shell	X			
GC00001805_r1_1	cloud	X			
GC00003328_1	cloud	X			
GC00002724_r1_2	shell	S			
GC00000061_2	shell	K			
GC00001805_3	cloud	X			
GC00002724_2	cloud	S			
GC00001805_2	cloud	X			
GC00002506_5	shell	X			
GC00001429_2	shell	X			
GC00002724_3	cloud	S			
GC00001185_r1_r1_1	softcore	H			
GC00002506_1	cloud	X			
GC00001805_1	cloud	X			
GC00002724_1	cloud	S			
GC00000092_r1_r1_1	softcore	O			
GC00002506_2	cloud	X			
GC00002724_4	cloud	S			
GC00001957_r1_r1_1	cloud	X			
GC00002506_3	cloud	X			
GC00001957_r1_1	cloud	X			
GC00001950_1	cloud	T			
GC00000013_6	core	P			
GC00001957_1	cloud	X			
GC00001185_r1_1	shell	H			
GC00000863_2	shell	H			
GC00001185_1	cloud	H			
GC00000863_3	cloud	H			
GC00004946_2	cloud	X			
GC00004946_1	cloud	X			
GC00000061_6	shell	K			
GC00000061_4	shell	K			
GC00003335_r1_2	shell	X			
GC00003335_r1_1	cloud	X			
GC00000248_2	shell	S			
GC00001200_r1_1	softcore	I			
GC00000248_1	cloud	S			
GC00000092_r1_2	shell	O			
GC00000092_r1_1	cloud	O			
GC00003751_1	cloud	X			
GC00000192_r1_1	shell	G			
GC00000609_2	core	E			
GC00000609_1	cloud	E			
GC00000192_1	cloud	G			
GC00000013_2	shell	G	M		
GC00000674_5	softcore	S			
GC00000013_1	cloud	P			
GC00000375_r1_1	core	X			
GC00000013_8	cloud	S			
GC00000375_2	cloud	X			
GC00001627_r1_r1_1	shell	U			
GC00003751_2	shell	X			
GC00002523_3	shell	K			
GC00000092_1	cloud	L			
GC00000092_2	cloud	O			
GC00000291_2	shell	S			
GC00000092_3	cloud	O			
GC00000375_3	shell	X			
GC00001627_r1_1	shell	U			
GC00000375_1	cloud	X			
GC00001627_1	cloud	U			
GC00002523_2	shell	K			
GC00001680_1	cloud	X			
GC00001627_3	cloud	U			
GC00000013_3	shell	V			
GC00001627_2	cloud	U			
GC00001680_2	cloud	S			
GC00002751_r1_1	shell	S			
GC00000190_2	core	O			
GC00002386_2	cloud	X			
GC00001504_r1_r1_1	shell	X			
GC00000190_1	cloud	P			
GC00000802_r1_1	softcore	X			
GC00000802_2	cloud	X			
GC00001885_r1_1	shell	S			
GC00001200_4	cloud	I			
GC00000802_1	cloud	X			
GC00002523_1	shell	K			
GC00001200_1	cloud	I			
GC00001200_2	cloud	I			
GC00000114_2	core	U			
GC00001200_3	cloud	I			
GC00001067_r1_1	softcore	S			
GC00001067_2	cloud	S			
GC00002751_r1_2	shell	S			
GC00001067_1	cloud	S			
GC00002751_1	cloud	S			
GC00000917_r1_1	softcore	P			
GC00000917_1	cloud	P			
GC00002582_1	cloud	S			
GC00000863_4	shell	H			
GC00000917_2	cloud	P			
GC00004409_1	cloud	X			
GC00001885_3	shell	S			
GC00000917_3	cloud	P			
GC00001885_2	cloud	S			
GC00000289_5	shell	S			
GC00001164_r1_1	softcore	G			
GC00001164_1	cloud	G			
GC00001777_2	shell	P			
GC00004409_2	shell	X			
GC00001885_1	shell	S			
GC00002582_2	shell	S			
GC00000302_1	shell	L			
GC00002602_r1_r1_r1_1	shell	K	L	T	
GC00002140_2	shell	X			
GC00002140_1	cloud	X			
GC00002879_r1_1	shell	T			
GC00002880_r1_1	shell	X			
GC00002879_1	cloud	T			
GC00002880_3	cloud	X			
GC00000218_1	cloud	I			
GC00001429_4	shell	X			
GC00002880_2	cloud	X			
GC00000345_r1_1	shell	L			
GC00002386_3	shell	S			
GC00000218_2	cloud	I			
GC00000345_3	cloud	X			
GC00002602_r1_r1_1	shell	K	L	T	
GC00002602_r1_1	cloud	S			
GC00002602_1	cloud	K	L	T	
GC00002386_1	shell	X			
GC00002852_r1_1	shell	X			
GC00002852_2	cloud	X			
GC00002880_1	shell	X			
GC00000111_r1_r1_1	shell	L			
GC00000107_r1_5	cloud	V			
GC00000218_3	shell	I			
GC00003335_3	cloud	X			
GC00001777_1	shell	P			
GC00002852_1	cloud	X			
GC00003335_2	cloud	X			
GC00000458_2	cloud	S			
GC00001680_3	shell	S			
GC00003335_1	cloud	X			
GC00000458_3	cloud	O			
GC00000111_r1_1	cloud	L			
GC00000458_1	cloud	S			
GC00000111_2	cloud	L			
GC00001950_2	shell	T			
GC00000061_9	softcore	K			
GC00000345_2	shell	L			
GC00000061_7	cloud	K			
GC00000345_1	cloud	L			
GC00001821_r1_1	shell	S			
GC00001676_r1_r1_1	shell	X			
GC00001821_1	cloud	S			
GC00000292_r1_1	core	I			
GC00001676_r1_1	cloud	S			
GC00001676_3	cloud	S			
GC00000289_3	shell	C			
GC00000289_1	cloud	E			
GC00001676_2	cloud	S			
GC00000039_r1_1	shell	L			
GC00002385_r1_r1_1	shell	X			
GC00001676_1	cloud	S			
GC00001656_r1_1	shell	X			
GC00000061_5	shell	K			
GC00000246_r1_1	shell	S			
GC00002410_r1_1	shell	V			
GC00002410_1	cloud	V			
GC00002410_2	cloud	L			
GC00001676_5	shell	X			
GC00001676_4	cloud	S			
GC00002385_r1_1	shell	X			
GC00000292_2	shell	I			
GC00002385_1	cloud	X			
GC00002286_r1_2	cloud	L			
GC00000289_2	shell	C			
GC00002385_2	cloud	X			
GC00002410_3	cloud	X			
GC00000218_4	shell	I			
GC00000292_1	shell	I			
GC00002641_r1_1	shell	X			
GC00002641_1	cloud	X			
GC00002643_2	cloud	X			
GC00002643_3	cloud	X			
GC00002643_1	cloud	X			
GC00002643_4	cloud	X			
GC00002410_4	shell	V			
GC00000047_3	core	M			
GC00002018_1	cloud	K			
GC00001785_r1_1	shell	K			
GC00002286_r1_3	shell	L			
GC00001656_1	cloud	X			
GC00001590_r1_1	shell	X			
GC00001590_1	cloud	X			
GC00001590_2	cloud	X			
GC00002643_5	shell	X			
GC00000111_6	shell	L			
GC00000111_4	cloud	L			
GC00001656_3	shell	X			
GC00001656_2	cloud	X			
GC00000111_5	cloud	L			
GC00000302_2	softcore	L			
GC00001590_3	shell	X			
GC00002018_2	shell	K			
GC00000111_3	cloud	L			
GC00000111_1	cloud	L			
GC00000083_4	softcore	C			
GC00002286_r1_1	shell	L			
GC00001504_r1_2	shell	X			
GC00000246_r1_2	shell	S			
GC00001656_5	shell	X			
GC00001504_r1_1	cloud	X			
GC00000246_1	cloud	X			
GC00000107_r1_2	shell	V			
GC00001656_4	cloud	X			
GC00000132_2	core	C			
GC00000247_1	cloud	K			
GC00001785_4	cloud	K			
GC00001785_1	cloud	K			
GC00002286_2	shell	L			
GC00001820_r1_1	shell	I			
GC00000114_1	core	U			
GC00002909_r1_1	shell	S			
GC00001820_1	cloud	I			
GC00002909_3	cloud	S			
GC00000247_2	shell	K			
GC00000153_5	shell	E	H		
GC00000153_7	cloud	E	H		
GC00002909_1	cloud	S			
GC00000061_3	core	K			
GC00000289_6	shell	E			
GC00000061_8	cloud	K			
GC00000153_1	cloud	E	H		
GC00002909_2	cloud	S			
GC00000061_1	cloud	X			
GC00002909_6	cloud	S			
GC00002909_4	cloud	S			
GC00002286_1	shell	L			
GC00002909_5	cloud	S			
GC00000039_r1_2	shell	L			
GC00000247_3	shell	K			
GC00000289_4	shell	S			
GC00001785_2	shell	K			
GC00000238_8	shell	S			
GC00000153_3	shell	E	H		
GC00000238_6	shell	S			
GC00000191_2	shell	S			
GC00002651_r1_1	shell	S			
GC00000047_1	core	M			
GC00000013_9	core	S			
GC00001491_r1_1	shell	G			
GC00001491_1	cloud	G			
GC00000238_4	shell	S			
GC00001491_2	cloud	G			
GC00002018_3	shell	K			
GC00000238_7	cloud	S			
GC00000218_5	core	I			
GC00001491_3	cloud	X			
GC00003862_1	cloud	M			
GC00002651_2	shell	S			
GC00002651_1	cloud	S			
GC00003842_r1_1	cloud	S			
GC00000013_5	shell	P			
GC00003862_2	cloud	M			
GC00000013_7	cloud	S			
GC00003862_3	cloud	M			
GC00003862_4	cloud	M			
GC00000699_r1_1	softcore	X			
GC00000699_1	cloud	X			
GC00000247_4	shell	K			
GC00000699_2	cloud	X			
GC00003842_r1_2	shell	S			
GC00003842_1	cloud	S			
GC00001785_3	shell	K			
GC00000976_r1_1	softcore	E			
GC00001652_1	shell	P			
GC00000083_2	shell	C			
GC00000976_2	cloud	E			
GC00000976_1	cloud	E			
GC00000899_r1_1	softcore	S			
GC00000074_4	shell	P			
GC00000899_1	cloud	S			
GC00001634_r1_1	shell	Q			
GC00001634_1	cloud	Q			
GC00000536_2	core	O			
GC00000458_4	core	O			
GC00000536_1	cloud	X			
GC00000269_4	cloud	E			
GC00001343_6	shell	K			
GC00001343_4	cloud	K			
GC00003302_1	shell	X			
GC00002490_r1_1	shell	M			
GC00000135_1	cloud	S			
GC00002541_r1_1	shell	S			
GC00002541_1	cloud	S			
GC00000083_3	shell	C			
GC00000191_3	core	S			
GC00000191_1	cloud	S			
GC00003302_2	shell	X			
GC00002477_1	cloud	M			
GC00001343_5	shell	K			
GC00000132_1	softcore	C			
GC00000238_5	shell	S			
GC00000238_3	cloud	S			
GC00000238_1	cloud	S			
GC00000238_2	cloud	S			
GC00001343_3	shell	K			
GC00001343_1	cloud	K			
GC00000083_1	shell	C			
GC00001343_2	cloud	K			
GC00000449_1	cloud	E			
GC00000449_2	cloud	E			
GC00000107_r1_6	shell	V			
GC00000107_r1_4	cloud	V			
GC00000247_5	shell	K			
GC00001453_r1_r1_1	shell	N	U		
GC00001181_r1_r1_1	softcore	S			
GC00002477_2	shell	M			
GC00001181_r1_1	cloud	S			
GC00003336_1	cloud	Q			
GC00001181_1	cloud	S			
GC00000051_3	shell	K			
GC00003336_2	cloud	Q			
GC00001652_2	shell	P			
GC00000135_2	softcore	S			
GC00001839_r1_1	shell	X			
GC00000107_r1_3	shell	V			
GC00000449_3	shell	S			
GC00001839_1	cloud	X			
GC00000449_4	cloud	E			
GC00003336_3	shell	Q			
GC00002575_r1_r1_1	shell	S			
GC00000645_2	core	J			
GC00000051_1	shell	K			
GC00000645_1	cloud	S			
GC00000051_7	cloud	K			
GC00004575_1	cloud	X			
GC00002509_3	shell	L			
GC00002575_r1_1	shell	S			
GC00002509_2	cloud	L			
GC00004575_2	cloud	X			
GC00002575_2	cloud	X			
GC00000642_1	cloud	C			
GC00002509_1	cloud	X			
GC00002575_1	cloud	S			
GC00000107_r1_1	shell	V			
GC00000153_9	core	E			
GC00002221_r1_1	shell	X			
GC00000153_2	cloud	X			
GC00002221_2	cloud	X			
GC00001827_3	shell	X			
GC00002221_3	cloud	X			
GC00001715_2	shell	C			
GC00002221_1	cloud	X			
GC00001715_1	cloud	C			
GC00000051_5	shell	K			
GC00002532_1	cloud	P			
GC00000107_10	shell	V			
GC00000107_12	cloud	V			
GC00001827_2	shell	X			
GC00001827_1	cloud	X			
GC00002881_r1_1	shell	X			
GC00000107_3	cloud	V			
GC00002102_r1_1	shell	X			
GC00000135_3	core	S			
GC00002490_1	cloud	M			
GC00002881_2	shell	X			
GC00002881_1	cloud	X			
GC00002102_1	shell	X			
GC00000508_1	cloud	I			
GC00000269_6	softcore	E			
GC00000508_2	cloud	I			
GC00000269_2	cloud	E			
GC00000107_1	shell	V			
GC00000272_1	shell	F			
GC00000107_16	cloud	V			
GC00000153_8	shell	E			
GC00000269_1	cloud	E			
GC00002532_2	shell	P			
GC00002102_2	shell	X			
GC00002194_r1_1	shell	H			
GC00002194_1	cloud	Q			
GC00002194_2	cloud	Q			
GC00000634_r1_1	softcore	X			
GC00000634_2	cloud	X			
GC00000107_15	shell	V			
GC00001889_r1_r1_1	shell	G			
GC00000634_1	cloud	X			
GC00002102_3	shell	X			
GC00001060_r1_1	softcore	N	U		
GC00001889_r1_2	cloud	G			
GC00000013_10	core	S			
GC00001060_1	cloud	N	U		
GC00001889_r1_1	cloud	G			
GC00000272_2	shell	F			
GC00001872_r1_r1_1	shell	S			
GC00001872_r1_1	cloud	S			
GC00000269_3	shell	E			
GC00000269_5	cloud	E			
GC00000051_8	shell	K			
GC00001158_r1_1	softcore	H			
GC00002361_r1_1	shell	X			
GC00001158_1	cloud	H			
GC00001793_r1_1	shell	S			
GC00001158_2	cloud	H			
GC00001158_3	cloud	H			
GC00002361_2	shell	X			
GC00000107_17	shell	V			
GC00002361_1	cloud	S			
GC00002231_r1_1	shell	K			
GC00001872_1	cloud	S			
GC00002567_r1_1	shell	S			
GC00000476_r1_r1_r1_1	softcore	L			
GC00002567_1	cloud	S			
GC00001872_2	cloud	S			
GC00000476_r1_r1_1	cloud	L			
GC00000107_2	shell	V			
GC00002355_2	cloud	U			
GC00000107_9	cloud	V			
GC00001639_r1_r1_1	shell	X			
GC00000642_2	softcore	E			
GC00002231_1	cloud	K			
GC00000476_r1_1	cloud	L			
GC00003097_r1_1	shell	X			
GC00000039_9	cloud	L			
GC00000107_6	cloud	V			
GC00001632_r1_1	shell	X			
GC00003097_1	cloud	X			
GC00001889_1	cloud	G			
GC00000476_1	cloud	L			
GC00003097_2	cloud	X			
GC00003097_3	cloud	X			
GC00001632_2	cloud	X			
GC00001038_r1_r1_1	softcore	M			
GC00003097_4	cloud	X			
GC00001632_1	cloud	X			
GC00001038_r1_1	cloud	M			
GC00003589_1	cloud	X			
GC00001038_1	cloud	M			
GC00003799_1	cloud	M			
GC00002983_r1_r1_1	shell	X			
GC00002983_r1_1	cloud	X			
GC00002983_1	cloud	X			
GC00001470_r1_r1_1	shell	X			
GC00000107_4	shell	V			
GC00002231_2	shell	K			
GC00004665_1	cloud	F			
GC00004665_2	cloud	F			
GC00002126_r1_1	shell	M			
GC00002786_2	cloud	S			
GC00003589_2	shell	X			
GC00003799_3	shell	M			
GC00003799_2	cloud	M			
GC00001470_r1_2	shell	X			
GC00000039_5	shell	L			
GC00001470_r1_1	cloud	X			
GC00000449_5	softcore	S			
GC00001470_3	cloud	X			
GC00001458_r1_1	shell	X			
GC00001470_2	cloud	X			
GC00001458_1	cloud	X			
GC00000065_6	cloud	P			
GC00001470_1	cloud	X			
GC00000065_4	cloud	P			
GC00001458_3	cloud	X			
GC00000508_3	core	I			
GC00000065_8	cloud	P			
GC00000153_4	shell	E			
GC00000039_7	shell	L			
GC00000153_6	cloud	E	H		
GC00000039_10	cloud	L			
GC00002355_1	cloud	U			
GC00000107_18	shell	V			
GC00001504_3	cloud	X			
GC00001504_2	cloud	X			
GC00002697_1	shell	X			
GC00001504_1	cloud	X			
GC00000164_4	softcore	S			
GC00000107_11	shell	V			
GC00002126_4	shell	M			
GC00002126_2	cloud	M			
GC00002126_3	cloud	M			
GC00002786_3	shell	X			
GC00001458_2	shell	X			
GC00002697_3	shell	X			
GC00002786_1	cloud	S			
GC00000051_6	core	K			
GC00002697_2	cloud	X			
GC00002697_4	cloud	X			
GC00005191_1	cloud	X			
GC00001793_4	shell	S			
GC00000272_3	softcore	F			
GC00000107_8	shell	V			
GC00001793_1	cloud	S			
GC00004221_1	cloud	X			
GC00005191_2	cloud	X			
GC00000107_7	cloud	V			
GC00004221_2	cloud	S			
GC00000107_13	cloud	V			
GC00004221_3	cloud	X			
GC00002126_1	shell	M			
GC00000051_4	shell	K			
GC00001793_3	shell	S			
GC00001793_2	cloud	S			
GC00001800_2	cloud	C			
GC00001687_r1_1	shell	X			
GC00000165_2	core	I			
GC00001687_1	cloud	X			
GC00000107_5	shell	V			
GC00000107_14	cloud	V			
GC00002307_r1_1	shell	K	T		
GC00000051_2	shell	K			
GC00000074_5	core	V			
GC00000060_r1_r1_r1_1	shell	L			
GC00000074_1	cloud	P			
GC00000039_4	shell	L			
GC00002307_1	shell	K	T		
GC00002418_r1_1	shell	X			
GC00002418_1	cloud	X			
GC00000060_r1_r1_1	shell	L			
GC00001997_r1_1	shell	L			
GC00001997_1	cloud	L			
GC00002032_1	shell	I			
GC00003133_r1_r1_1	shell	X			
GC00003133_r1_1	cloud	X			
GC00000060_r1_r1_2	shell	L			
GC00002135_r1_1	shell	M			
GC00001837_r1_r1_1	shell	S			
GC00000060_r1_4	cloud	L			
GC00002135_2	cloud	M			
GC00001837_r1_1	cloud	S			
GC00003133_1	cloud	X			
GC00000060_r1_2	cloud	L			
GC00002135_1	cloud	M			
GC00001551_r1_r1_r1_1	shell	X			
GC00001625_r1_1	shell	U			
GC00000041_4	cloud	C			
GC00000041_6	cloud	E			
GC00000060_r1_3	shell	L			
GC00000060_r1_1	cloud	L			
GC00000925_r1_r1_1	shell	S			
GC00000060_7	cloud	L			
GC00000925_r1_1	cloud	S			
GC00003059_r1_1	shell	X			
GC00000060_5	cloud	L			
GC00000059_9	softcore	C			
GC00000925_3	cloud	S			
GC00001551_r1_r1_1	shell	X			
GC00001358_r1_r1_1	softcore	X			
GC00000164_2	softcore	S			
GC00001358_r1_1	cloud	X			
GC00000164_3	cloud	S			
GC00001358_2	cloud	X			
GC00000164_1	cloud	S			
GC00004712_2	cloud	X			
GC00001358_1	cloud	X			
GC00003059_1	shell	X			
GC00000060_6	shell	L			
GC00004712_1	cloud	X			
GC00004302_1	cloud	X			
GC00000065_2	shell	P			
